,Season,Season.1,No. ofepisodes,Originally aired,Originally aired.1,Originally aired.2,Viewership,Viewership.1,Viewership.2
2,1,1989–90,13,"December 17, 1989","May 13, 1990",Sunday 8:30 pm,27.8,33.5,"""Life on the Fast Lane"""
3,2,1990–91,22,"October 11, 1990","July 11, 1991",Thursday 8:00 pm,24.4,33.6,"""Bart Gets an 'F'"""
4,3,1991–92,24,"September 19, 1991","August 27, 1992",Thursday 8:00 pm,21.8,25.5,"""Colonel Homer"""
5,4,1992–93,22,"September 24, 1992","May 13, 1993",Thursday 8:00 pm,22.4,28.6,"""Lisa's First Word"""
6,5,1993–94,22,"September 30, 1993","May 19, 1994",Thursday 8:00 pm,18.9,24.0,"""Treehouse of Horror IV"""
7,6,1994–95,25,"September 4, 1994","May 21, 1995",Sunday 8:00 pm,15.6,22.2,"""Treehouse of Horror V"""
8,7,1995–96,25,"September 17, 1995","May 19, 1996",Sunday 8:00 pm (Episodes 1–24)Sunday 8:30 pm (Episode 25),15.1,19.7,"""Treehouse of Horror VI"""
9,8,1996–97,25,"October 27, 1996","May 18, 1997",Sunday 8:30 pm (Episodes 1–3)Sunday 8:00 pm (Episodes 4–12 & 14–25)Friday 8:00 pm (Episode 13)[146],14.5,20.9,"""The Springfield Files"""
10,9,1997–98,25,"September 21, 1997","May 17, 1998",Sunday 8:00 pm,15.3,19.8,"""The Two Mrs. Nahasapeemapetilons"""
11,10,1998–99,23,"August 23, 1998","May 16, 1999",Sunday 8:00 pm,13.5,15.5,"""Maximum Homerdrive"""
12,11,1999–2000,22,"September 26, 1999","May 21, 2000",Sunday 8:00 pm,8.8,18.4,"""The Mansion Family"""
13,12,2000–01,21,"November 1, 2000","May 20, 2001",Sunday 8:00 pm,15.5,18.6,"""Worst Episode Ever"""
14,13,2001–02,22,"November 6, 2001","May 22, 2002",Tuesday 8:30 pm (Episode 1)Sunday 8:00 pm (Episodes 2–20)Sunday 7:30 pm (Episode 21)Wednesday 8:00 pm (Episode 22),12.5,14.9,"""The Parent Rap"""
15,14,2002–03,22,"November 3, 2002","May 18, 2003","Sunday 8:00 pm (Episodes 1–11, 13–21)Sunday 8:30 pm (Episodes 12, 22)",14.4,22.1,"""I'm Spelling as Fast as I Can"""
16,15,2003–04,22,"November 2, 2003","May 23, 2004",Sunday 8:00 pm,11.0,16.3,"""I, (Annoyed Grunt)-Bot"""
17,16,2004–05,21,"November 7, 2004","May 15, 2005","Sunday 8:00 pm (Episodes 1–7, 9–16, 18, 20)Sunday 10:30 pm (Episode 8)Sunday 8:30 pm (Episodes 17, 19, 21)",10.2,23.07,"""Homer and Ned's Hail Mary Pass"""
18,17,2005–06,22,"September 11, 2005","May 21, 2006",Sunday 8:00 pm,9.55,11.63,"""Treehouse of Horror XVI"""
19,18,2006–07,22,"September 10, 2006","May 20, 2007",Sunday 8:00 pm,9.15,13.90,"""The Wife Aquatic"""
20,19,2007–08,20,"September 23, 2007","May 18, 2008",Sunday 8:00 pm,8.37,11.7,"""Treehouse of Horror XVIII"""
21,20,2008–09,21,"September 28, 2008","May 17, 2009",Sunday 8:00 pm,7.1,12.4,"""Treehouse of Horror XIX"""
22,21,2009–10,23,"September 27, 2009","May 23, 2010",Sunday 8:00 pm,7.1,14.62,"""Once Upon a Time in Springfield"""
23,22,2010–11,22,"September 26, 2010","May 22, 2011",Sunday 8:00 pm,7.09,12.6,"""Moms I'd Like to Forget"""
24,23,2011–12,22,"September 25, 2011","May 20, 2012",Sunday 8:00 pm,6.15[147],11.48,"""The D'oh-cial Network"""
25,24,2012–13,22,"September 30, 2012","May 19, 2013",Sunday 8:00 pm (Episodes 1-21)Sunday 8:30 pm (Episode 22),5.41[148],8.97,"""Homer Goes to Prep School"""
26,25,2013–14,22,"September 29, 2013","May 18, 2014",Sunday 8:00 pm (Episodes 1–11 & 13-22)Sunday 7:30 pm (Episode 12),5.02[149],12.04,"""Steal This Episode"""
27,26,2014–15,22,"September 28, 2014","May 17, 2015",Sunday 8:00 pm,5.61[150],10.62,"""The Man Who Came to Be Dinner"""
28,27,2015–16,22,"September 27, 2015","May 22, 2016",Sunday 8:00 pm,4.0[151],8.33,"""Teenage Mutant Milk-Caused Hurdles"""
29,28,2016–17,22,"September 25, 2016","May 21, 2017",Sunday 8:00 pm,4.80[152],8.19,"""Pork and Burns"""
30,29,2017–18,21,"October 1, 2017","May 20, 2018",Sunday 8:00 pm,4.07[153],8.04,"""Frink Gets Testy"""
31,30,2018–19,23,"September 30, 2018","May 12, 2019",Sunday 8:00 pm,3.10[154],8.20,"""The Girl on the Bus"""
32,31,2019–20,22,"September 29, 2019","May 17, 2020",Sunday 8:00 pm,2.58[155],5.63,"""Go Big or Go Homer"""
33,32,2020–21,22,"September 27, 2020","May 23, 2021",Sunday 8:00 pm (Episodes 1–10 & 12-22)Sunday 9:00 pm (Episode 11),2.32[156],4.93,"""Treehouse of Horror XXXI"""
34,33,2021–22,22,"September 26, 2021","May 15, 2022[157]",Sunday 8:00 pm (Episodes 1–10 & 12-22)Sunday 9:00 pm (Episode 11),TBA,TBA,TBA
